trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.visual_stim,trials_runs.auditory_stim,trials_runs.correctPair,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_4.started,image_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.rt,response_4.started,response_4.stopped,response_5.keys,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_5.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,ts_difficulty,visualPair,audioPair,yesKey,noKey,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],audio set [1-3 / 4-6],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
34,0,34,0,,,,,,,,,,1,0,0,36,1,2.0691390047117237,2.93253104700369,None,693.0048423000007,None,695.9858526000007,None,695.9879759000005,None,['b'],[1.2303378000015073],695.9858526000007,None,None,697.938056500001,None,b,1.2303378000015073,1,1,0.9714285714285714,700.0280941000001,None,None,700.0280941000001,None,,,,,,,,,,,,,,,,,,,,,CBC_1074,1,4,3,6,3,0.95,2024-03-13_16h24.28.080,MSI_AV_v1,2022.1.1,60.00124802607584,
35,0,35,0,,,,,,,,,,2,1,0,36,1,3.8484563543876202,2.41859016397919,None,701.8380968000001,None,704.3012978000006,None,704.3046191000003,None,None,,704.3012978000006,None,['b'],706.2546781000001,None,b,2.4516217000000324,1,1,0.9722222222222222,710.1041633000004,None,None,710.1041633000004,None,[0.45162170000003243],,,,,,,,,,,,,,,,,,,,CBC_1074,1,4,3,6,3,0.95,2024-03-13_16h24.28.080,MSI_AV_v1,2022.1.1,60.00124802607584,
36,0,36,0,,,,,,,,,,1,2,1,50,1,3.6791616380244196,2.96697800987238,None,711.9046702000014,None,714.9017264000013,None,714.9037840800014,None,['z'],[1.7843711999994412],714.9017264000013,None,None,716.8547673000012,None,z,1.7843711999994412,1,1,0.972972972972973,720.5456061000004,None,None,720.5456061000004,None,,,,,,,,,,,,,,,,,,,,,CBC_1074,1,4,3,6,3,0.95,2024-03-13_16h24.28.080,MSI_AV_v1,2022.1.1,60.00124802607584,
37,0,37,0,,,,,,,,,,2,1,0,36,1,2.661399651610695,0.864984636888209,None,722.3548831000007,None,723.2720214000001,None,723.2713601000005,None,['b'],[1.858679300001313],723.2720214000001,None,None,725.2207206000003,None,b,1.858679300001313,1,1,0.9736842105263158,727.8872963000013,None,None,727.8872963000013,None,,,,,,,,,,,,,,,,,,,,,CBC_1074,1,4,3,6,3,0.95,2024-03-13_16h24.28.080,MSI_AV_v1,2022.1.1,60.00124802607584,
38,0,38,0,,,,,,,,,,0,2,0,36,1,3.0109893695593497,3.25187717164471,None,729.6883906000003,None,732.9631393,None,732.9710077800013,None,None,,732.9631393,None,['b'],734.9381830000002,None,b,2.233036900001025,1,1,0.9743589743589743,737.9542307000011,None,None,737.9542307000011,None,[0.23303690000102506],,,,,,,,,,,,,,,,,,,,CBC_1074,1,4,3,6,3,0.95,2024-03-13_16h24.28.080,MSI_AV_v1,2022.1.1,60.00124802607584,
39,0,39,0,,,,,,,,,,2,0,1,50,1,3.35750049552731,2.32696722275902,None,739.7549299000002,None,742.1196541999998,None,742.1215499,None,['z'],[0.8929681999998138],742.1196541999998,None,None,744.0713816000007,None,z,0.8929681999998138,1,1,0.975,747.4459830000014,None,None,747.4459830000014,None,,,,,,,,,,,,,,,,,,,,,CBC_1074,1,4,3,6,3,0.95,2024-03-13_16h24.28.080,MSI_AV_v1,2022.1.1,60.00124802607584,
40,0,40,0,,,,,,,,,,1,2,1,50,1,4.85706913915242,1.14006717102905,None,749.2550246999999,None,750.4381639000003,None,750.4382001000004,None,['z'],[1.4148939000006067],750.4381639000003,None,None,752.3882263000014,None,z,1.4148939000006067,1,1,0.975609756097561,757.2640771000006,None,None,757.2640771000006,None,,,,,,,,,,,,,,,,,,,,,CBC_1074,1,4,3,6,3,0.95,2024-03-13_16h24.28.080,MSI_AV_v1,2022.1.1,60.00124802607584,
41,0,41,0,,,,,,,,,,0,1,1,50,1,3.3535975560099702,1.52074017648695,None,759.0721707000012,None,760.6381950000014,None,760.6382231000016,None,None,,760.6381950000014,None,['z'],762.5882977000001,None,z,2.2774572000016633,1,1,0.9761904761904762,765.9622670000008,None,None,765.9622670000008,None,[0.2774572000016633],,,,,,,,,,,,,,,,,,,,CBC_1074,1,4,3,6,3,0.95,2024-03-13_16h24.28.080,MSI_AV_v1,2022.1.1,60.00124802607584,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,767.7717780000003,None,,,,,,,,,,,,,,,,,CBC_1074,1,4,3,6,3,0.95,2024-03-13_16h24.28.080,MSI_AV_v1,2022.1.1,60.00124802607584,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,772.7716601000011,None,None,772.7716601000011,None,,,,,,,,,,,,CBC_1074,1,4,3,6,3,0.95,2024-03-13_16h24.28.080,MSI_AV_v1,2022.1.1,60.00124802607584,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,easy,"[0, 1, 2, 3]","[1, 2, 0]",z,b,1.0,0.9285714285714286,1.0,39,1,2,,,,,,,,,,,,
