trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.visual_stim,trials_runs.auditory_stim,trials_runs.correctPair,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_4.started,image_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.rt,response_4.started,response_4.stopped,response_5.keys,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_5.rt,keys_6.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,ts_difficulty,visualPair,audioPair,yesKey,noKey,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],audio set [1-3 / 4-6],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,187.84510340000088,None,t,71.45956979999937,187.84510340000088,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1047,3,3,1,3,0,0.95,2024-01-21_17h15.38.801,MSI_AV_v1,2022.1.1,59.74943477025191,
,,,,,,,,,,None,259.3240936000002,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1047,3,3,1,3,0,0.95,2024-01-21_17h15.38.801,MSI_AV_v1,2022.1.1,59.74943477025191,
0,0,0,0,,,,,,,,,,1.0,2,0.0,36.0,1.0,3.0109893695593497,1.49331160364633,None,259.52346790000047,None,261.2818717000009,None,261.29240393000015,None,['z'],[1.584626699999717],261.2818717000009,None,None,263.0072809000012,None,z,1.584626699999717,1,1,1.0,266.0636228000003,None,None,266.0636228000003,None,,,,,,,,,,,,,,,,,,,,,,CBC_1047,3,3,1,3,0,0.95,2024-01-21_17h15.38.801,MSI_AV_v1,2022.1.1,59.74943477025191,
1,0,1,0,,,,,,,,,,0.0,1,0.0,36.0,1.0,2.661399651610695,3.093067417437,None,267.83950340000047,None,271.0213842000012,None,271.0248189599999,None,['b'],[1.6756282999995165],271.0213842000012,None,None,272.9233757000002,None,b,1.6756282999995165,0,0,0.5,275.58927440000116,None,None,275.58927440000116,None,,,,,,,,,,,,,,,,,,,,,,CBC_1047,3,3,1,3,0,0.95,2024-01-21_17h15.38.801,MSI_AV_v1,2022.1.1,59.74943477025191,
2,0,2,0,,,,,,,,,,1.0,0,0.0,14.0,1.0,4.08205346963855,1.49618260131236,None,277.3897762000015,None,278.9470300000012,None,278.9580672900008,None,None,,278.9470300000012,None,['b'],280.87383820000105,None,b,2.4233571000004304,0,0,0.3333333333333333,284.96477159999995,None,None,284.96477159999995,None,[0.42335710000043036],,,,,,,,,,,,,,,,,,,,,CBC_1047,3,3,1,3,0,0.95,2024-01-21_17h15.38.801,MSI_AV_v1,2022.1.1,59.74943477025191,
3,0,3,0,,,,,,,,,,2.0,2,1.0,50.0,1.0,2.93061443445534,3.25187717164471,None,286.77465420000044,None,290.1154710999999,None,290.12473126000003,None,None,,290.1154710999999,None,['b'],292.02395160000015,None,b,2.455191899998681,1,1,0.5,294.9659724000012,None,None,294.9659724000012,None,[0.45519189999868104],,,,,,,,,,,,,,,,,,,,,CBC_1047,3,3,1,3,0,0.95,2024-01-21_17h15.38.801,MSI_AV_v1,2022.1.1,59.74943477025191,
4,0,4,0,,,,,,,,,,0.0,0,1.0,50.0,1.0,3.22645636662535,2.41859016397919,None,296.7748173,None,299.2443063999999,None,299.24150315000134,None,['z'],[1.4305760999995982],299.2443063999999,None,None,301.1902758000015,None,z,1.4305760999995982,0,0,0.4,304.4298636000003,None,None,304.4298636000003,None,,,,,,,,,,,,,,,,,,,,,,CBC_1047,3,3,1,3,0,0.95,2024-01-21_17h15.38.801,MSI_AV_v1,2022.1.1,59.74943477025191,
5,0,5,0,,,,,,,,,,0.0,0,1.0,50.0,1.0,3.9110799880328697,2.32696722275902,None,306.2397710000005,None,308.5884952000015,None,308.5902702800009,None,['b'],[1.72503179999876],308.5884952000015,None,None,310.54113880000114,None,b,1.72503179999876,1,1,0.5,314.4656724000015,None,None,314.4656724000015,None,,,,,,,,,,,,,,,,,,,,,,CBC_1047,3,3,1,3,0,0.95,2024-01-21_17h15.38.801,MSI_AV_v1,2022.1.1,59.74943477025191,
6,0,6,0,,,,,,,,,,2.0,2,1.0,50.0,1.0,2.0691390047117237,0.823898895776125,None,316.27351760000056,None,317.14828260000104,None,317.1580905200011,None,None,,317.14828260000104,None,['b'],319.0904496000003,None,b,3.3836145000004763,1,1,0.5714285714285714,321.173399700001,None,None,321.173399700001,None,[1.3836145000004763],,,,,,,,,,,,,,,,,,,,,CBC_1047,3,3,1,3,0,0.95,2024-01-21_17h15.38.801,MSI_AV_v1,2022.1.1,59.74943477025191,
7,0,7,0,,,,,,,,,,0.0,1,0.0,36.0,1.0,3.35750049552731,1.85507739556255,None,322.97457510000095,None,324.8787828000004,None,324.8747514500001,None,None,,324.8787828000004,None,['b'],326.8233369999998,None,b,2.642522000001918,0,0,0.5,330.1969525000004,None,None,330.1969525000004,None,[0.6425220000019181],,,,,,,,,,,,,,,,,,,,,CBC_1047,3,3,1,3,0,0.95,2024-01-21_17h15.38.801,MSI_AV_v1,2022.1.1,59.74943477025191,
8,0,8,0,,,,,,,,,,2.0,2,1.0,50.0,1.0,2.143942873030107,1.931001549337,None,332.00736470000084,None,333.9545753000002,None,333.95741417999994,None,None,,333.9545753000002,None,['b'],335.92402890000085,None,b,3.2903962999989744,1,1,0.5555555555555556,338.0811197000003,None,None,338.0811197000003,None,[1.2903962999989744],,,,,,,,,,,,,,,,,,,,,CBC_1047,3,3,1,3,0,0.95,2024-01-21_17h15.38.801,MSI_AV_v1,2022.1.1,59.74943477025191,
9,0,9,0,,,,,,,,,,1.0,1,1.0,50.0,1.0,2.096051788593735,2.24098228083631,None,339.89090860000033,None,342.1547005000011,None,342.15690738000154,None,None,,342.1547005000011,None,['b'],344.1235082000003,None,b,2.4901859000001423,1,1,0.6,346.2327924000001,None,None,346.2327924000001,None,[0.4901859000001423],,,,,,,,,,,,,,,,,,,,,CBC_1047,3,3,1,3,0,0.95,2024-01-21_17h15.38.801,MSI_AV_v1,2022.1.1,59.74943477025191,
10,0,10,0,,,,,,,,,,0.0,2,0.0,14.0,1.0,2.396355568442425,1.09364692357212,None,348.04094030000124,None,349.1565577000001,None,349.1575855800016,None,None,,349.1565577000001,None,['z'],351.1241495000013,None,z,2.5610173999994004,1,1,0.6363636363636364,353.53200560000005,None,None,353.53200560000005,None,[0.5610173999994004],,,,,,,,,,,,,,,,,,,,,CBC_1047,3,3,1,3,0,0.95,2024-01-21_17h15.38.801,MSI_AV_v1,2022.1.1,59.74943477025191,
11,0,11,0,,,,,,,,,,1.0,1,1.0,50.0,1.0,2.755584162388418,2.2926827756088,None,355.34133760000077,None,357.6499832999998,None,357.6568884800013,None,None,,357.6499832999998,None,['z'],359.62330660000043,None,z,3.0537328999998863,0,0,0.5833333333333334,362.3898026000006,None,None,362.3898026000006,None,[1.0537328999998863],,,,,,,,,,,,,,,,,,,,,CBC_1047,3,3,1,3,0,0.95,2024-01-21_17h15.38.801,MSI_AV_v1,2022.1.1,59.74943477025191,
12,0,12,0,,,,,,,,,,2.0,0,0.0,36.0,1.0,3.00565230777806,1.90695111352951,None,364.1910865000009,None,366.1476246000002,None,366.15822592000075,None,None,,366.1476246000002,None,['z'],368.0911151,None,z,3.13236980000147,1,1,0.6153846153846154,371.1149991000002,None,None,371.1149991000002,None,[1.1323698000014701],,,,,,,,,,,,,,,,,,,,,CBC_1047,3,3,1,3,0,0.95,2024-01-21_17h15.38.801,MSI_AV_v1,2022.1.1,59.74943477025191,
13,0,13,0,,,,,,,,,,1.0,2,0.0,36.0,1.0,3.6791616380244196,2.93253104700369,None,372.92337940000107,None,375.89561270000013,None,375.9081989200007,None,None,,375.89561270000013,None,['z'],377.8398891000015,None,z,4.419148500001029,1,1,0.6428571428571429,381.53119049999987,None,None,381.53119049999987,None,[2.419148500001029],,,,,,,,,,,,,,,,,,,,,CBC_1047,3,3,1,3,0,0.95,2024-01-21_17h15.38.801,MSI_AV_v1,2022.1.1,59.74943477025191,
14,0,14,0,,,,,,,,,,2.0,0,0.0,36.0,1.0,2.038421555814887,2.46643561303325,None,383.3412384000003,None,385.83881960000144,None,385.84089768000155,None,None,,385.83881960000144,None,['z'],387.80722849999984,None,z,2.893244200000481,1,1,0.6666666666666666,389.8659196000008,None,None,389.8659196000008,None,[0.8932442000004812],,,,,,,,,,,,,,,,,,,,,CBC_1047,3,3,1,3,0,0.95,2024-01-21_17h15.38.801,MSI_AV_v1,2022.1.1,59.74943477025191,
15,0,15,0,,,,,,,,,,1.0,1,1.0,50.0,1.0,3.0795770157756097,1.92795341140246,None,391.67435260000093,None,393.6478038000005,None,393.6587342200004,None,None,,393.6478038000005,None,['z'],395.5899586000014,None,z,2.975979199998619,0,0,0.625,398.6807793000007,None,None,398.6807793000007,None,[0.9759791999986192],,,,,,,,,,,,,,,,,,,,,CBC_1047,3,3,1,3,0,0.95,2024-01-21_17h15.38.801,MSI_AV_v1,2022.1.1,59.74943477025191,
16,0,16,0,,,,,,,,,,2.0,0,0.0,36.0,1.0,4.79595120749692,0.767372347918183,None,400.490561300001,None,401.31684830000086,None,401.3250442200009,None,None,,401.31684830000086,None,['z'],403.25678270000026,None,z,3.34459009999955,1,1,0.6470588235294118,408.0567095000006,None,None,408.0567095000006,None,[1.3445900999995501],,,,,,,,,,,,,,,,,,,,,CBC_1047,3,3,1,3,0,0.95,2024-01-21_17h15.38.801,MSI_AV_v1,2022.1.1,59.74943477025191,
17,0,17,0,,,,,,,,,,1.0,1,1.0,50.0,1.0,3.19303509672656,2.71666458349534,None,409.85777120000057,None,412.62959779999983,None,412.6421025200001,None,None,,412.62959779999983,None,['z'],414.5749370000012,None,z,2.7598151999991387,0,0,0.6111111111111112,417.7817178000005,None,None,417.7817178000005,None,[0.7598151999991387],,,,,,,,,,,,,,,,,,,,,CBC_1047,3,3,1,3,0,0.95,2024-01-21_17h15.38.801,MSI_AV_v1,2022.1.1,59.74943477025191,
18,0,18,0,,,,,,,,,,0.0,0,1.0,50.0,1.0,3.78496720151373,2.19546497995913,None,419.59119570000075,None,421.8262312000006,None,421.82486495000103,None,None,,421.8262312000006,None,['z'],423.7734377000015,None,z,3.0238358000005974,0,0,0.5789473684210527,427.5635349000004,None,None,427.5635349000004,None,[1.0238358000005974],,,,,,,,,,,,,,,,,,,,,CBC_1047,3,3,1,3,0,0.95,2024-01-21_17h15.38.801,MSI_AV_v1,2022.1.1,59.74943477025191,
19,0,19,0,,,,,,,,,,2.0,2,1.0,50.0,1.0,2.260653249681576,2.99272735241982,None,429.3747456000001,None,432.4110709000015,None,432.408332850001,None,['b'],[1.5866175000010116],432.4110709000015,None,None,434.3570350000009,None,b,1.5866175000010116,1,1,0.6,436.6233809000005,None,None,436.6233809000005,None,,,,,,,,,,,,,,,,,,,,,,CBC_1047,3,3,1,3,0,0.95,2024-01-21_17h15.38.801,MSI_AV_v1,2022.1.1,59.74943477025191,
20,0,20,0,,,,,,,,,,2.0,2,1.0,50.0,1.0,3.8873543302872697,1.14006717102905,None,438.4244697000013,None,439.58978600000046,None,439.5908001800013,None,['b'],[1.0145479999991949],439.58978600000046,None,None,441.5573865000006,None,b,1.0145479999991949,1,1,0.6190476190476191,445.464848900001,None,None,445.464848900001,None,,,,,,,,,,,,,,,,,,,,,,CBC_1047,3,3,1,3,0,0.95,2024-01-21_17h15.38.801,MSI_AV_v1,2022.1.1,59.74943477025191,
