trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.visual_stim,trials_runs.auditory_stim,trials_runs.correctPair,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_4.started,image_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.started,response_4.stopped,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,keys_6.rt,keys_3.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,ts_difficulty,visualPair,audioPair,yesKey,noKey,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],audio set [1-3 / 4-6],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,211.48968689999947,None,t,70.47776890000114,211.48968689999947,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1083,3,3,2,2,12,0.90,2024-04-10_14h59.38.518,MSI_AV_v1,2022.1.1,60.014319416373276,
,,,,,,,,,,None,281.9876196999994,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1083,3,3,2,2,12,0.90,2024-04-10_14h59.38.518,MSI_AV_v1,2022.1.1,60.014319416373276,
0,0,0,0,,,,,,,,,,1,1,1,50,1,4.08205346963855,2.71666458349534,None,282.1869356999996,None,285.25486719999935,None,285.25177872999785,None,None,285.25486719999935,None,['b'],[0.588800500000616],286.9037228999996,None,b,2.588800500000616,1,1,1.0,290.9946022999993,None,None,290.9946022999993,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1083,3,3,2,2,12,0.90,2024-04-10_14h59.38.518,MSI_AV_v1,2022.1.1,60.014319416373276,
1,0,1,0,,,,,,,,,,2,2,1,50,1,2.664345149861413,2.2926827756088,None,292.8041502999995,None,295.17564159999984,None,295.18591757999894,None,['b'],295.17564159999984,None,None,,297.0869474000001,None,b,1.6218055000008462,1,1,1.0,299.76142290000007,None,None,299.76142290000007,None,[1.6218055000008462],,,,,,,,,,,,,,,,,,,,,,CBC_1083,3,3,2,2,12,0.90,2024-04-10_14h59.38.518,MSI_AV_v1,2022.1.1,60.014319416373276,
2,0,2,0,,,,,,,,,,0,1,0,36,1,3.3535975560099702,2.41859016397919,None,301.5692911999995,None,304.02834579999944,None,304.03587104999906,None,['z'],304.02834579999944,None,None,,305.9870744,None,z,1.378750900000341,1,1,1.0,309.3636379999998,None,None,309.3636379999998,None,[1.378750900000341],,,,,,,,,,,,,,,,,,,,,,CBC_1083,3,3,2,2,12,0.90,2024-04-10_14h59.38.518,MSI_AV_v1,2022.1.1,60.014319416373276,
3,0,3,0,,,,,,,,,,1,2,0,36,1,3.8484563543876202,2.24098228083631,None,311.17035339999984,None,313.4578699999993,None,313.4698782599995,None,['z'],313.4578699999993,None,None,,315.4039404999994,None,z,1.6509613000007448,1,1,1.0,319.2527965999998,None,None,319.2527965999998,None,[1.6509613000007448],,,,,,,,,,,,,,,,,,,,,,CBC_1083,3,3,2,2,12,0.90,2024-04-10_14h59.38.518,MSI_AV_v1,2022.1.1,60.014319416373276,
4,0,4,0,,,,,,,,,,0,0,1,50,1,2.396355568442425,3.19646747994707,None,321.0535190999999,None,324.32164609999927,None,324.31988885999965,None,None,324.32164609999927,None,['b'],[0.4503459000006842],326.2370645000001,None,b,2.450345900000684,1,1,1.0,328.6464154999994,None,None,328.6464154999994,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1083,3,3,2,2,12,0.90,2024-04-10_14h59.38.518,MSI_AV_v1,2022.1.1,60.014319416373276,
5,0,5,0,,,,,,,,,,2,1,0,14,1,2.0935163976022517,3.25187717164471,None,330.45366339999964,None,333.7567247999996,None,333.753479049999,None,None,333.7567247999996,None,['z'],[0.17104370000015479],335.70380269999987,None,z,2.171043700000155,1,1,1.0,337.81046419999984,None,None,337.81046419999984,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1083,3,3,2,2,12,0.90,2024-04-10_14h59.38.518,MSI_AV_v1,2022.1.1,60.014319416373276,
6,0,6,0,,,,,,,,,,0,2,0,14,1,2.070770331037005,2.79689535976632,None,339.6201268999994,None,342.4287153999994,None,342.4361324399992,None,['z'],342.4287153999994,None,None,,344.4038955999995,None,z,1.3763703000013265,1,1,1.0,346.4930857999998,None,None,346.4930857999998,None,[1.3763703000013265],,,,,,,,,,,,,,,,,,,,,,CBC_1083,3,3,2,2,12,0.90,2024-04-10_14h59.38.518,MSI_AV_v1,2022.1.1,60.014319416373276,
7,0,7,0,,,,,,,,,,1,1,1,50,1,2.93061443445534,0.823898895776125,None,348.3039205999994,None,349.16981829999986,None,349.1701245499994,None,['b'],349.16981829999986,None,None,,351.1204262000001,None,b,1.1492445000012594,1,1,1.0,354.0589375999998,None,None,354.0589375999998,None,[1.1492445000012594],,,,,,,,,,,,,,,,,,,,,,CBC_1083,3,3,2,2,12,0.90,2024-04-10_14h59.38.518,MSI_AV_v1,2022.1.1,60.014319416373276,
