trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.visual_stim,trials_runs.tactile_stim,trials_runs.correctPair,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_4.started,tactile_4.started,response_4.keys,allKeys.keys,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,allKeys.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,ts_difficulty,visualPair,tactilePair,yesKey,noKey,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,43.51185859999896,None,t,55.31540889999815,43.51185859999896,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1056,2,6,1,7,9,0.95,2024-02-07_14h52.41.463,MSI_TV_v1,2022.1.1,59.9044882840611,
,,,,,,,,,,None,98.84877079999933,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1056,2,6,1,7,9,0.95,2024-02-07_14h52.41.463,MSI_TV_v1,2022.1.1,59.9044882840611,
0,0,0,0,,,,,,,,,,0,1,1,50,1,3.6791616380244196,1.52074017648695,None,99.04891520000092,None,100.54866531999869,100.54866531999869,None,[],['z'],[0.2317267999969772],102.55684130000009,None,z,2.231726799996977,1,1,1.0,106.2862669999995,None,None,106.2862669999995,None,,,,,,,,,,,,,,,,,,,,,,CBC_1056,2,6,1,7,9,0.95,2024-02-07_14h52.41.463,MSI_TV_v1,2022.1.1,59.9044882840611,
1,0,1,0,,,,,,,,,,1,0,0,36,1,4.057112590273469,2.32696722275902,None,108.06567160000122,None,110.36581641999874,110.36581641999874,z,['z'],None,,112.37082670000018,None,z,1.2610905000001367,0,0,0.5,116.44235109999863,None,None,116.44235109999863,None,1.2610905000001367,[1.2610905000001367],,,,,,,,,,,,,,,,,,,,CBC_1056,2,6,1,7,9,0.95,2024-02-07_14h52.41.463,MSI_TV_v1,2022.1.1,59.9044882840611,
2,0,2,0,,,,,,,,,,0,2,0,36,1,2.661399651610695,2.99272735241982,None,118.24908040000082,None,121.21573201999854,121.21573201999854,None,[],['b'],[0.43591269999888027],123.21901040000012,None,b,2.4359126999988803,1,1,0.6666666666666666,125.89534500000082,None,None,125.89534500000082,None,,,,,,,,,,,,,,,,,,,,,,CBC_1056,2,6,1,7,9,0.95,2024-02-07_14h52.41.463,MSI_TV_v1,2022.1.1,59.9044882840611,
3,0,3,0,,,,,,,,,,2,0,1,50,1,4.18755802100366,2.13476920223271,None,127.6993352999998,None,129.81568361999962,129.81568361999962,z,['z'],None,,131.82128150000062,None,z,1.2193951999979618,1,1,0.75,136.02769809999882,None,None,136.02769809999882,None,1.2193951999979618,[1.2193951999979618],,,,,,,,,,,,,,,,,,,,CBC_1056,2,6,1,7,9,0.95,2024-02-07_14h52.41.463,MSI_TV_v1,2022.1.1,59.9044882840611,
4,0,4,0,,,,,,,,,,0,1,1,50,1,4.638307379983409,2.68012679460483,None,137.8321399000015,None,140.49914261999947,140.49914261999947,None,[],['z'],[1.9084154999982275],142.50480679999964,None,z,3.9084154999982275,1,1,0.8,147.1615955999987,None,None,147.1615955999987,None,,,,,,,,,,,,,,,,,,,,,,CBC_1056,2,6,1,7,9,0.95,2024-02-07_14h52.41.463,MSI_TV_v1,2022.1.1,59.9044882840611,
5,0,5,0,,,,,,,,,,2,0,1,50,1,2.435645686656409,2.711340609857,None,148.96552499999962,None,151.64896701999896,151.64896701999896,z,['z'],None,,153.6556797000012,None,z,1.7420662000004086,1,1,0.8333333333333334,156.11174530000062,None,None,156.11174530000062,None,1.7420662000004086,[1.7420662000004086],,,,,,,,,,,,,,,,,,,,CBC_1056,2,6,1,7,9,0.95,2024-02-07_14h52.41.463,MSI_TV_v1,2022.1.1,59.9044882840611,
6,0,6,0,,,,,,,,,,1,1,0,14,1,2.533372966674614,2.24098228083631,None,157.91577469999902,None,160.1325607200015,160.1325607200015,None,[],['b'],[0.6145901999989292],162.13672679999945,None,b,2.614590199998929,1,1,0.8571428571428571,164.69547109999985,None,None,164.69547109999985,None,,,,,,,,,,,,,,,,,,,,,,CBC_1056,2,6,1,7,9,0.95,2024-02-07_14h52.41.463,MSI_TV_v1,2022.1.1,59.9044882840611,
7,0,7,0,,,,,,,,,,0,2,0,36,1,3.9110799880328697,2.71666458349534,None,166.49925620000067,None,169.19936292000057,169.19936292000057,b,['b'],None,,171.20381579999957,None,b,1.8828862000009394,1,1,0.875,175.12767950000125,None,None,175.12767950000125,None,1.8828862000009394,[1.8828862000009394],,,,,,,,,,,,,,,,,,,,CBC_1056,2,6,1,7,9,0.95,2024-02-07_14h52.41.463,MSI_TV_v1,2022.1.1,59.9044882840611,
8,0,8,0,,,,,,,,,,2,0,1,50,1,2.0935163976022517,1.49618260131236,None,176.9325804,None,178.4162446199989,178.4162446199989,z,['z'],None,,180.41977300000144,None,z,1.2264845999961835,1,1,0.8888888888888888,182.52852899999925,None,None,182.52852899999925,None,1.2264845999961835,[1.2264845999961835],,,,,,,,,,,,,,,,,,,,CBC_1056,2,6,1,7,9,0.95,2024-02-07_14h52.41.463,MSI_TV_v1,2022.1.1,59.9044882840611,
9,0,9,0,,,,,,,,,,1,2,1,50,1,3.0795770157756097,0.864984636888209,None,184.33237670000017,None,185.1828398200014,185.1828398200014,None,[],['z'],[2.5868292999984988],187.18989919999876,None,z,4.586829299998499,1,1,0.9,190.29518349999853,None,None,190.29518349999853,None,,,,,,,,,,,,,,,,,,,,,,CBC_1056,2,6,1,7,9,0.95,2024-02-07_14h52.41.463,MSI_TV_v1,2022.1.1,59.9044882840611,
10,0,10,0,,,,,,,,,,0,0,0,14,1,2.755584162388418,2.96697800987238,None,192.09946059999857,None,195.04943551999895,195.04943551999895,b,['b'],None,,197.05424760000096,None,b,1.344369699996605,1,1,0.9090909090909091,199.8281534000016,None,None,199.8281534000016,None,1.344369699996605,[1.344369699996605],,,,,,,,,,,,,,,,,,,,CBC_1056,2,6,1,7,9,0.95,2024-02-07_14h52.41.463,MSI_TV_v1,2022.1.1,59.9044882840611,
11,0,11,0,,,,,,,,,,1,2,1,50,1,3.78496720151373,2.46643561303325,None,201.6322724999991,None,204.08282572000098,204.08282572000098,None,[],['z'],[2.2520784999978787],206.08706969999912,None,z,4.252078499997879,1,1,0.9166666666666666,209.89526589999878,None,None,209.89526589999878,None,,,,,,,,,,,,,,,,,,,,,,CBC_1056,2,6,1,7,9,0.95,2024-02-07_14h52.41.463,MSI_TV_v1,2022.1.1,59.9044882840611,
12,0,12,0,,,,,,,,,,2,1,0,36,1,2.143942873030107,2.46471651569721,None,211.699599399999,None,214.14977232000092,214.14977232000092,None,[],['b'],[0.4472615999984555],216.1528502000001,None,b,2.4472615999984555,1,1,0.9230769230769231,218.3121140000003,None,None,218.3121140000003,None,,,,,,,,,,,,,,,,,,,,,,CBC_1056,2,6,1,7,9,0.95,2024-02-07_14h52.41.463,MSI_TV_v1,2022.1.1,59.9044882840611,
13,0,13,0,,,,,,,,,,1,0,0,36,1,3.00616914487701,2.2926827756088,None,220.1161186999998,None,222.3831121200019,222.3831121200019,b,['b'],None,,224.3874480000013,None,b,1.3862095999975281,1,1,0.9285714285714286,227.41137209999943,None,None,227.41137209999943,None,1.3862095999975281,[1.3862095999975281],,,,,,,,,,,,,,,,,,,,CBC_1056,2,6,1,7,9,0.95,2024-02-07_14h52.41.463,MSI_TV_v1,2022.1.1,59.9044882840611,
14,0,14,0,,,,,,,,,,2,1,0,36,1,3.08399219778019,1.90695111352951,None,229.21635400000014,None,231.09979631999886,231.09979631999886,b,['b'],None,,233.11086849999992,None,b,1.561218499999086,1,1,0.9333333333333333,236.21316959999967,None,None,236.21316959999967,None,1.561218499999086,[1.561218499999086],,,,,,,,,,,,,,,,,,,,CBC_1056,2,6,1,7,9,0.95,2024-02-07_14h52.41.463,MSI_TV_v1,2022.1.1,59.9044882840611,
15,0,15,0,,,,,,,,,,1,2,1,50,1,2.260653249681576,2.93253104700369,None,238.0161908000009,None,240.93294642000183,240.93294642000183,None,[],"['b', 'z']","[0.4074438999996346, 0.9169272999970417]",242.93690300000162,None,b,2.4074438999996346,0,0,0.875,245.20648399999845,None,None,245.20648399999845,None,,,,,,,,,,,,,,,,,,,,,,CBC_1056,2,6,1,7,9,0.95,2024-02-07_14h52.41.463,MSI_TV_v1,2022.1.1,59.9044882840611,
16,0,16,0,,,,,,,,,,2,1,0,36,1,3.22645636662535,2.41859016397919,None,247.01641860000018,None,249.41664751999997,249.41664751999997,b,['b'],None,,251.42019140000048,None,b,1.453322899997147,1,1,0.8823529411764706,254.6604933000017,None,None,254.6604933000017,None,1.453322899997147,[1.453322899997147],,,,,,,,,,,,,,,,,,,,CBC_1056,2,6,1,7,9,0.95,2024-02-07_14h52.41.463,MSI_TV_v1,2022.1.1,59.9044882840611,
17,0,17,0,,,,,,,,,,1,2,1,50,1,3.0109893695593497,1.92795341140246,None,256.46671920000153,None,258.36649932,258.36649932,z,['z'],None,,260.3701868999997,None,z,1.3642544999966049,1,1,0.8888888888888888,263.3963963999995,None,None,263.3963963999995,None,1.3642544999966049,[1.3642544999966049],,,,,,,,,,,,,,,,,,,,CBC_1056,2,6,1,7,9,0.95,2024-02-07_14h52.41.463,MSI_TV_v1,2022.1.1,59.9044882840611,
18,0,18,0,,,,,,,,,,0,1,1,50,1,2.096051788593735,1.49331160364633,None,265.1997386000003,None,266.6662025199985,266.6662025199985,z,['z'],None,,268.67153809999945,None,z,1.348196499999176,1,1,0.8947368421052632,270.76747759999853,None,None,270.76747759999853,None,1.348196499999176,[1.348196499999176],,,,,,,,,,,,,,,,,,,,CBC_1056,2,6,1,7,9,0.95,2024-02-07_14h52.41.463,MSI_TV_v1,2022.1.1,59.9044882840611,
19,0,19,0,,,,,,,,,,2,0,1,50,1,4.89745263827305,1.14006717102905,None,272.56578140000056,None,273.6826968200003,273.6826968200003,z,['z'],None,,275.68715059999886,None,z,1.5278400999959558,1,1,0.9,280.61116519999996,None,None,280.61116519999996,None,1.5278400999959558,[1.5278400999959558],,,,,,,,,,,,,,,,,,,,CBC_1056,2,6,1,7,9,0.95,2024-02-07_14h52.41.463,MSI_TV_v1,2022.1.1,59.9044882840611,
