trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.visual_stim,trials_runs.tactile_stim,trials_runs.correctPair,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_4.started,tactile_4.started,response_4.keys,allKeys.keys,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,allKeys.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,ts_difficulty,visualPair,tactilePair,yesKey,noKey,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
21,0,21,0,,,,,,,,,,1,2,1,50,1,3.22645636662535,1.14006717102905,None,307.6211521999994,None,308.7380024199999,308.7380024199999,z,['z'],None,,310.74155040000005,None,z,1.1552225000014005,1,1,0.8636363636363636,313.98557319999964,None,None,313.98557319999964,None,1.1552225000014005,[1.1552225000014005],,,,,,,,,,,,,,,,,,,,CBC_1086,002,5,1,6,15,0.80,2024-04-23_16h29.43.384,MSI_TV_v1,2022.1.1,59.84239905799929,
22,0,22,0,,,,,,,,,,2,0,1,50,0,4.89745263827305,2.96697800987238,None,315.7879531999997,None,318.7381056199999,318.7381056199999,z,['z'],None,,320.7411840999994,None,z,1.408301700001175,1,0,0.8695652173913043,325.64892859999964,None,None,325.64892859999964,None,1.408301700001175,[1.408301700001175],,,,,,,,,,,,,,,,,,,,CBC_1086,002,5,1,6,15,0.80,2024-04-23_16h29.43.384,MSI_TV_v1,2022.1.1,59.84239905799929,
23,0,23,0,,,,,,,,,,1,1,0,14,1,3.9110799880328697,1.49618260131236,None,327.45365799999945,None,328.9215370199997,328.9215370199997,b,['b'],None,,330.9251596999993,None,b,1.8499550000015006,1,1,0.875,334.8487215999994,None,None,334.8487215999994,None,1.8499550000015006,[1.8499550000015006],,,,,,,,,,,,,,,,,,,,CBC_1086,002,5,1,6,15,0.80,2024-04-23_16h29.43.384,MSI_TV_v1,2022.1.1,59.84239905799929,
24,0,24,0,,,,,,,,,,2,0,1,50,1,4.75208449114276,2.93253104700369,None,336.6549507999998,None,339.5717632199991,339.5717632199991,z,['z'],None,,341.5746395999995,None,z,1.7756023000010828,1,1,0.88,346.3489430999998,None,None,346.3489430999998,None,1.7756023000010828,[1.7756023000010828],,,,,,,,,,,,,,,,,,,,CBC_1086,002,5,1,6,15,0.80,2024-04-23_16h29.43.384,MSI_TV_v1,2022.1.1,59.84239905799929,
25,0,25,0,,,,,,,,,,0,2,0,36,1,2.038421555814887,1.52074017648695,None,348.15465179999956,None,349.6550859199994,349.6550859199994,b,['b'],None,,351.65733479999926,None,b,1.312201300000197,1,1,0.8846153846153846,353.7176200999993,None,None,353.7176200999993,None,1.312201300000197,[1.312201300000197],,,,,,,,,,,,,,,,,,,,CBC_1086,002,5,1,6,15,0.80,2024-04-23_16h29.43.384,MSI_TV_v1,2022.1.1,59.84239905799929,
26,0,26,0,,,,,,,,,,2,1,0,36,1,3.00565230777806,1.92795341140246,None,355.52042299999994,None,357.42188781999965,357.42188781999965,b,['b'],None,,359.4255852999995,None,b,1.7221040000003995,1,1,0.8888888888888888,362.4503066999996,None,None,362.4503066999996,None,1.7221040000003995,[1.7221040000003995],,,,,,,,,,,,,,,,,,,,CBC_1086,002,5,1,6,15,0.80,2024-04-23_16h29.43.384,MSI_TV_v1,2022.1.1,59.84239905799929,
27,0,27,0,,,,,,,,,,1,0,0,36,0,2.0691390047117237,2.68012679460483,None,364.2549438999995,None,366.92147401999927,366.92147401999927,b,['b'],None,,368.9232472999993,None,b,1.2128456000009464,1,0,0.8928571428571429,371.00404459999936,None,None,371.00404459999936,None,1.2128456000009464,[1.2128456000009464],,,,,,,,,,,,,,,,,,,,CBC_1086,002,5,1,6,15,0.80,2024-04-23_16h29.43.384,MSI_TV_v1,2022.1.1,59.84239905799929,
28,0,28,0,,,,,,,,,,0,1,1,50,1,3.19303509672656,2.41859016397919,None,372.8052411999997,None,375.2049614199993,375.2049614199993,z,['z'],None,,377.2075333999992,None,z,1.4053429000014148,1,1,0.896551724137931,380.4193312999996,None,None,380.4193312999996,None,1.4053429000014148,[1.4053429000014148],,,,,,,,,,,,,,,,,,,,CBC_1086,002,5,1,6,15,0.80,2024-04-23_16h29.43.384,MSI_TV_v1,2022.1.1,59.84239905799929,
29,0,29,0,,,,,,,,,,1,0,0,36,1,2.533372966674614,1.23760834810881,None,382.2216310999993,None,383.43839071999963,383.43839071999963,b,['b'],None,,385.4419779,None,b,1.4741313000004084,1,1,0.9,388.0010706999992,None,None,388.0010706999992,None,1.4741313000004084,[1.4741313000004084],,,,,,,,,,,,,,,,,,,,CBC_1086,002,5,1,6,15,0.80,2024-04-23_16h29.43.384,MSI_TV_v1,2022.1.1,59.84239905799929,
30,0,30,0,,,,,,,,,,2,2,0,14,1,3.8484563543876202,0.886051557539332,None,389.80528929999946,None,390.67184261999927,390.67184261999927,b,['b'],None,,392.6717970999998,None,b,1.4250167999998666,1,1,0.9032258064516129,396.52095370000006,None,None,396.52095370000006,None,1.4250167999998666,[1.4250167999998666],,,,,,,,,,,,,,,,,,,,CBC_1086,002,5,1,6,15,0.80,2024-04-23_16h29.43.384,MSI_TV_v1,2022.1.1,59.84239905799929,
31,0,31,0,,,,,,,,,,1,1,0,14,1,3.78496720151373,0.872854310065634,None,398.32184869999946,None,399.1705991199994,399.1705991199994,b,['b'],None,,401.16523509999934,None,b,1.1818330000014612,1,1,0.90625,404.9675746999992,None,None,404.9675746999992,None,1.1818330000014612,[1.1818330000014612],,,,,,,,,,,,,,,,,,,,CBC_1086,002,5,1,6,15,0.80,2024-04-23_16h29.43.384,MSI_TV_v1,2022.1.1,59.84239905799929,
32,0,32,0,,,,,,,,,,2,0,1,50,1,4.79396941305267,1.931001549337,None,406.7710150999992,None,408.67188201999915,408.67188201999915,z,['z'],None,,410.67587639999965,None,z,1.4650440000004892,1,1,0.9090909090909091,415.4856831999996,None,None,415.4856831999996,None,1.4650440000004892,[1.4650440000004892],,,,,,,,,,,,,,,,,,,,CBC_1086,002,5,1,6,15,0.80,2024-04-23_16h29.43.384,MSI_TV_v1,2022.1.1,59.84239905799929,
33,0,33,0,,,,,,,,,,0,1,1,50,0,3.8873543302872697,2.9722947448457,None,417.28822349999973,None,420.2391660199998,420.2391660199998,None,[],"['z', 'z']","[0.060536400000273716, 3.8442549000001236]",422.2374900999994,None,z,2.0605364000002737,1,0,0.9117647058823529,426.14848170000005,None,None,426.14848170000005,None,,,,,,,,,,,,,,,,,,,,,,CBC_1086,002,5,1,6,15,0.80,2024-04-23_16h29.43.384,MSI_TV_v1,2022.1.1,59.84239905799929,
34,0,34,0,,,,,,,,,,1,0,0,36,1,3.00616914487701,3.25187717164471,None,427.9549436999996,None,431.1885445199993,431.1885445199993,b,['b'],None,,433.1930905999998,None,b,1.0838017000005493,1,1,0.9142857142857143,436.22032599999966,None,None,436.22032599999966,None,1.0838017000005493,[1.0838017000005493],,,,,,,,,,,,,,,,,,,,CBC_1086,002,5,1,6,15,0.80,2024-04-23_16h29.43.384,MSI_TV_v1,2022.1.1,59.84239905799929,
35,0,35,0,,,,,,,,,,2,1,0,36,1,2.93061443445534,2.55132244875705,None,438.02226319999954,None,440.5555967199995,440.5555967199995,b,['b'],None,,442.55455489999986,None,b,1.398356200001217,1,1,0.9166666666666666,445.49927449999996,None,None,445.49927449999996,None,1.398356200001217,[1.398356200001217],,,,,,,,,,,,,,,,,,,,CBC_1086,002,5,1,6,15,0.80,2024-04-23_16h29.43.384,MSI_TV_v1,2022.1.1,59.84239905799929,
36,0,36,0,,,,,,,,,,1,2,1,50,1,4.79595120749692,2.79689535976632,None,447.30553509999936,None,450.08742841999964,450.08742841999964,z,['z'],None,,452.08521109999947,None,z,1.786561900000379,1,1,0.918918918918919,456.8995578999993,None,None,456.8995578999993,None,1.786561900000379,[1.786561900000379],,,,,,,,,,,,,,,,,,,,CBC_1086,002,5,1,6,15,0.80,2024-04-23_16h29.43.384,MSI_TV_v1,2022.1.1,59.84239905799929,
37,0,37,0,,,,,,,,,,2,1,0,36,1,3.0795770157756097,2.71666458349534,None,458.7057001999992,None,461.4056960199993,461.4056960199993,b,['b'],None,,463.4083114999994,None,b,1.9511856000008265,1,1,0.9210526315789473,466.5028754999994,None,None,466.5028754999994,None,1.9511856000008265,[1.9511856000008265],,,,,,,,,,,,,,,,,,,,CBC_1086,002,5,1,6,15,0.80,2024-04-23_16h29.43.384,MSI_TV_v1,2022.1.1,59.84239905799929,
38,0,38,0,,,,,,,,,,0,2,0,36,0,2.269747919971076,2.24098228083631,None,468.30455639999946,None,470.5224752199999,470.5224752199999,None,[],['b'],[0.0016032000012273784],472.5202008999995,None,b,2.0016032000012274,1,0,0.9230769230769231,474.80219749999924,None,None,474.80219749999924,None,,,,,,,,,,,,,,,,,,,,,,CBC_1086,002,5,1,6,15,0.80,2024-04-23_16h29.43.384,MSI_TV_v1,2022.1.1,59.84239905799929,
39,0,39,0,,,,,,,,,,2,0,1,50,1,4.18755802100366,2.46471651569721,None,476.6056931999992,None,479.05556481999946,479.05556481999946,z,['z'],None,,481.0542439999999,None,z,1.2274535000005926,1,1,0.925,485.26848019999943,None,None,485.26848019999943,None,1.2274535000005926,[1.2274535000005926],,,,,,,,,,,,,,,,,,,,CBC_1086,002,5,1,6,15,0.80,2024-04-23_16h29.43.384,MSI_TV_v1,2022.1.1,59.84239905799929,
40,0,40,0,,,,,,,,,,1,2,1,50,0,2.143942873030107,3.19646747994707,None,487.07220679999955,None,490.2555415199992,490.2555415199992,z,['z'],None,,492.2597343999996,None,z,1.8329623000008723,1,0,0.926829268292683,494.4162527999997,None,None,494.4162527999997,None,1.8329623000008723,[1.8329623000008723],,,,,,,,,,,,,,,,,,,,CBC_1086,002,5,1,6,15,0.80,2024-04-23_16h29.43.384,MSI_TV_v1,2022.1.1,59.84239905799929,
41,0,41,0,,,,,,,,,,0,1,1,50,1,2.8965037234387068,3.44771472893932,None,496.2214865999995,None,499.63926751999924,499.63926751999924,z,['z'],None,,501.6377444999998,None,z,1.5085662000010416,1,1,0.9285714285714286,504.54627529999925,None,None,504.54627529999925,None,1.5085662000010416,[1.5085662000010416],,,,,,,,,,,,,,,,,,,,CBC_1086,002,5,1,6,15,0.80,2024-04-23_16h29.43.384,MSI_TV_v1,2022.1.1,59.84239905799929,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,506.3553936999997,None,,,,,,,,,,,,,,,,,CBC_1086,002,5,1,6,15,0.80,2024-04-23_16h29.43.384,MSI_TV_v1,2022.1.1,59.84239905799929,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,511.3557766999993,None,None,511.3557766999993,None,,,,,,,,,,,,CBC_1086,002,5,1,6,15,0.80,2024-04-23_16h29.43.384,MSI_TV_v1,2022.1.1,59.84239905799929,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hard,"[0, 1, 2, 3]","[1, 2, 0]",z,b,0.8571428571428571,0.9285714285714286,1.0,33,0,9,,,,,,,,,,,,
