trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.visual_stim,trials_runs.auditory_stim,trials_runs.correctPair,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_4.started,image_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.started,response_4.stopped,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,keys_6.rt,keys_3.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,ts_difficulty,visualPair,audioPair,yesKey,noKey,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],audio set [1-3 / 4-6],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,526.6177044999986,None,t,73.21938740000041,526.6177044999986,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1032,001,2,2,3,7,0.95,2023-10-20_11h21.24.835,MSI_AV_v1,2022.1.1,59.953368270164056,
,,,,,,,,,,None,599.8675132999997,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1032,001,2,2,3,7,0.95,2023-10-20_11h21.24.835,MSI_AV_v1,2022.1.1,59.953368270164056,
0,0,0,0,,,,,,,,,,1,1,0,36,1,2.755584162388418,2.68012679460483,None,600.0674087999996,None,602.9637600999995,None,602.9667086,None,None,602.9637600999995,None,['z'],[0.5619239999996353],604.7506913999987,None,z,2.5619239999996353,1,1,1.0,607.5403776000003,None,None,607.5403776000003,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1032,001,2,2,3,7,0.95,2023-10-20_11h21.24.835,MSI_AV_v1,2022.1.1,59.953368270164056,
1,0,1,0,,,,,,,,,,0,2,0,36,1,4.3560033776911595,2.711340609857,None,609.3340708999986,None,612.1091476999991,None,612.117443579999,None,['z'],612.1091476999991,None,None,,614.034376399999,None,z,1.6909636000000319,1,1,1.0,618.4082387999988,None,None,618.4082387999988,None,[1.6909636000000319],,,,,,,,,,,,,,,,,,,,,,CBC_1032,001,2,2,3,7,0.95,2023-10-20_11h21.24.835,MSI_AV_v1,2022.1.1,59.953368270164056,
2,0,2,0,,,,,,,,,,1,0,0,14,1,2.664345149861413,2.71666458349534,None,620.2174994999987,None,622.995617999999,None,623.0007358400005,None,None,622.995617999999,None,['b'],[0.6595825999993394],624.9345130000002,None,b,2.6595825999993394,0,0,0.6666666666666666,627.6077638999996,None,None,627.6077638999996,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1032,001,2,2,3,7,0.95,2023-10-20_11h21.24.835,MSI_AV_v1,2022.1.1,59.953368270164056,
3,0,3,0,,,,,,,,,,2,1,1,50,1,3.8873543302872697,3.19646747994707,None,629.4174241000001,None,632.682165799999,None,632.6839203400002,None,None,632.682165799999,None,['z'],[0.43641159999970114],634.6173287999991,None,z,2.436411599999701,0,0,0.5,638.5244915000003,None,None,638.5244915000003,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1032,001,2,2,3,7,0.95,2023-10-20_11h21.24.835,MSI_AV_v1,2022.1.1,59.953368270164056,
4,0,4,0,,,,,,,,,,0,0,1,50,1,3.22645636662535,0.864984636888209,None,640.3341557000003,None,641.2551621000002,None,641.2672290399994,None,None,641.2551621000002,None,['z'],[0.37767259999964153],643.2007257999994,None,z,2.3776725999996415,0,0,0.4,646.4414569,None,None,646.4414569,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1032,001,2,2,3,7,0.95,2023-10-20_11h21.24.835,MSI_AV_v1,2022.1.1,59.953368270164056,
5,0,5,0,,,,,,,,,,0,0,1,50,1,2.661399651610695,0.886051557539332,None,648.2508233999997,None,649.1904576999987,None,649.2004106400007,None,None,649.1904576999987,None,['b'],[0.5761461000001873],651.134168999999,None,b,2.5761461000001873,1,1,0.5,653.8106917999994,None,None,653.8106917999994,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1032,001,2,2,3,7,0.95,2023-10-20_11h21.24.835,MSI_AV_v1,2022.1.1,59.953368270164056,
6,0,6,0,,,,,,,,,,2,1,1,50,1,2.8965037234387068,0.859460502749755,None,655.6174222999998,None,656.5248204999989,None,656.5338594399989,None,None,656.5248204999989,None,['b'],[0.8251211999995576],658.4676588000002,None,b,2.8251211999995576,1,1,0.5714285714285714,661.3750184,None,None,661.3750184,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1032,001,2,2,3,7,0.95,2023-10-20_11h21.24.835,MSI_AV_v1,2022.1.1,59.953368270164056,
7,0,7,0,,,,,,,,,,0,2,0,36,1,3.0109893695593497,2.19546497995913,None,663.1842252999995,None,665.4230341999992,None,665.4336067400006,None,None,665.4230341999992,None,['z'],[0.44817539999894507],667.3674374999991,None,z,2.448175399998945,1,1,0.625,670.3912327999988,None,None,670.3912327999988,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1032,001,2,2,3,7,0.95,2023-10-20_11h21.24.835,MSI_AV_v1,2022.1.1,59.953368270164056,
8,0,8,0,,,,,,,,,,2,1,1,50,1,2.143942873030107,2.41859016397919,None,672.200813899999,None,674.7233574999991,None,674.73372846,None,['z'],674.7233574999991,None,None,,676.6176853999987,None,z,1.839460199998939,0,0,0.5555555555555556,678.7750263999988,None,None,678.7750263999988,None,[1.839460199998939],,,,,,,,,,,,,,,,,,,,,,CBC_1032,001,2,2,3,7,0.95,2023-10-20_11h21.24.835,MSI_AV_v1,2022.1.1,59.953368270164056,
9,0,9,0,,,,,,,,,,1,2,1,50,1,3.78496720151373,2.79689535976632,None,680.5843267,None,683.4417801,None,683.4506230399991,None,None,683.4417801,None,['z'],[0.34856910000053176],685.3842991000001,None,z,2.3485691000005318,0,0,0.5,689.1907859999992,None,None,689.1907859999992,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1032,001,2,2,3,7,0.95,2023-10-20_11h21.24.835,MSI_AV_v1,2022.1.1,59.953368270164056,
10,0,10,0,,,,,,,,,,0,1,0,14,1,4.638307379983409,2.13476920223271,None,691.0011507999989,None,693.1911660999995,None,693.2006300399996,None,['b'],693.1911660999995,None,None,,695.1342294999995,None,b,1.855429400000503,0,0,0.45454545454545453,699.7917793999986,None,None,699.7917793999986,None,[1.855429400000503],,,,,,,,,,,,,,,,,,,,,,CBC_1032,001,2,2,3,7,0.95,2023-10-20_11h21.24.835,MSI_AV_v1,2022.1.1,59.953368270164056,
11,0,11,0,,,,,,,,,,1,2,1,50,1,2.269747919971076,1.1680331695907,None,701.6008540999992,None,702.8008671999996,None,702.7999585600002,None,['z'],702.8008671999996,None,None,,704.7511638999986,None,z,1.8980508000004193,0,0,0.4166666666666667,707.0358025999994,None,None,707.0358025999994,None,[1.8980508000004193],,,,,,,,,,,,,,,,,,,,,,CBC_1032,001,2,2,3,7,0.95,2023-10-20_11h21.24.835,MSI_AV_v1,2022.1.1,59.953368270164056,
12,0,12,0,,,,,,,,,,2,0,0,36,1,3.00565230777806,3.093067417437,None,708.8513569999996,None,711.9934787999991,None,712.00105134,None,None,711.9934787999991,None,['b'],[0.4799867000001541],713.93455,None,b,2.479986700000154,0,0,0.38461538461538464,716.9579702999999,None,None,716.9579702999999,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1032,001,2,2,3,7,0.95,2023-10-20_11h21.24.835,MSI_AV_v1,2022.1.1,59.953368270164056,
13,0,13,0,,,,,,,,,,1,1,0,36,1,2.435645686656409,2.55132244875705,None,718.7676257000003,None,721.3725056999992,None,721.3848296399999,None,['z'],721.3725056999992,None,None,,723.3179875999995,None,z,1.7176681000000826,1,1,0.42857142857142855,725.7756704000003,None,None,725.7756704000003,None,[1.7176681000000826],,,,,,,,,,,,,,,,,,,,,,CBC_1032,001,2,2,3,7,0.95,2023-10-20_11h21.24.835,MSI_AV_v1,2022.1.1,59.953368270164056,
14,0,14,0,,,,,,,,,,2,0,0,36,1,2.0691390047117237,2.2926827756088,None,727.5843895999988,None,729.9244476999993,None,729.9343825399999,None,None,729.9244476999993,None,['b'],[0.509638300000006],731.8682391000002,None,b,2.509638300000006,0,0,0.4,733.9581701999996,None,None,733.9581701999996,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1032,001,2,2,3,7,0.95,2023-10-20_11h21.24.835,MSI_AV_v1,2022.1.1,59.953368270164056,
15,0,15,0,,,,,,,,,,1,2,1,50,1,2.396355568442425,1.49331160364633,None,735.7670347999992,None,737.3084480999987,None,737.3174003400006,None,None,737.3084480999987,None,None,,739.2511646999992,None,[],[],0,3,0.375,741.6717085,None,['z'],741.6717085,None,,[1.1953835999993316],,,,,,,,,,,,,,,,,,,,,CBC_1032,001,2,2,3,7,0.95,2023-10-20_11h21.24.835,MSI_AV_v1,2022.1.1,59.953368270164056,
16,0,16,0,,,,,,,,,,2,0,0,36,1,4.75208449114276,2.46643561303325,None,743.4670057000003,None,745.9656264999994,None,745.96727226,None,None,745.9656264999994,None,['z'],[0.32721239999955287],747.9346157,None,z,2.327212399999553,1,1,0.4117647058823529,752.7087648999986,None,None,752.7087648999986,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1032,001,2,2,3,7,0.95,2023-10-20_11h21.24.835,MSI_AV_v1,2022.1.1,59.953368270164056,
17,0,17,0,,,,,,,,,,1,2,1,50,1,2.038421555814887,2.46471651569721,None,754.5177363999992,None,757.0410898999999,None,757.0510274399992,None,['z'],757.0410898999999,None,None,,758.9839947,None,z,1.3520748999999341,0,0,0.3888888888888889,761.0419767000003,None,None,761.0419767000003,None,[1.3520748999999341],,,,,,,,,,,,,,,,,,,,,,CBC_1032,001,2,2,3,7,0.95,2023-10-20_11h21.24.835,MSI_AV_v1,2022.1.1,59.953368270164056,
18,0,18,0,,,,,,,,,,0,0,1,50,1,4.79396941305267,1.09364692357212,None,762.8514783999999,None,763.9671820999993,None,763.967266159999,None,None,763.9671820999993,None,['b'],[0.5340539999997418],765.9182623999986,None,b,2.534053999999742,1,1,0.42105263157894735,770.7258874999989,None,None,770.7258874999989,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1032,001,2,2,3,7,0.95,2023-10-20_11h21.24.835,MSI_AV_v1,2022.1.1,59.953368270164056,
19,0,19,0,,,,,,,,,,2,1,1,50,1,3.75606544973216,1.23760834810881,None,772.5344499000003,None,773.8295619,None,773.8343084399992,None,None,773.8295619,None,None,,775.7681051,None,[],[],0,3,0.4,779.5339387000004,None,['z'],779.5339387000004,None,,[1.0848280000009254],,,,,,,,,,,,,,,,,,,,,CBC_1032,001,2,2,3,7,0.95,2023-10-20_11h21.24.835,MSI_AV_v1,2022.1.1,59.953368270164056,
