trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.visual_stim,trials_runs.auditory_stim,trials_runs.correctPair,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_4.started,image_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.started,response_4.stopped,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,keys_6.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,ts_difficulty,visualPair,audioPair,yesKey,noKey,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],audio set [1-3 / 4-6],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
21,0,21,0,,,,,,,,,,1,1,1,50,1,3.0109893695593497,0.760509851028298,None,515.0571272000007,None,515.8640983000005,None,515.8740874000008,None,['b'],515.8640983000005,None,None,,517.8073883000006,None,b,1.1722001999987697,1,1,0.7272727272727273,520.8311129000003,None,None,520.8311129000003,None,[1.1722001999987697],,,,,,,,,,,,,,,,,,,,,CBC_1065,003,3,1,2,18,0.95,2024-05-10_15h29.15.145,MSI_AV_v1,2022.1.1,60.175169919720815,
22,0,22,0,,,,,,,,,,2,2,1,50,0,2.396355568442425,2.71666458349534,None,522.640588700001,None,525.4120223,None,525.4240851000008,None,['b'],525.4120223,None,None,,527.3563956000007,None,b,1.2170090999979948,1,0,0.7391304347826086,529.7643292000002,None,None,529.7643292000002,None,[1.2170090999979948],,,,,,,,,,,,,,,,,,,,,CBC_1065,003,3,1,2,18,0.95,2024-05-10_15h29.15.145,MSI_AV_v1,2022.1.1,60.175169919720815,
23,0,23,0,,,,,,,,,,1,0,0,14,1,4.057112590273469,1.931001549337,None,531.5740250999997,None,533.5650083999999,None,533.5740765000004,None,['z'],533.5650083999999,None,None,,535.5073331000012,None,z,1.0050344999990557,1,1,0.75,539.5804632000008,None,None,539.5804632000008,None,[1.0050344999990557],,,,,,,,,,,,,,,,,,,,,CBC_1065,003,3,1,2,18,0.95,2024-05-10_15h29.15.145,MSI_AV_v1,2022.1.1,60.175169919720815,
24,0,24,0,,,,,,,,,,2,2,1,50,1,3.3535975560099702,2.93253104700369,None,541.3903778000013,None,544.3823285000008,None,544.3909142000006,None,None,544.3823285000008,None,['b'],[0.041815899999164685],546.3240754000008,None,b,2.0418158999991647,1,1,0.76,549.6997756999999,None,None,549.6997756999999,None,,,,,,,,,,,,,,,,,,,,,,CBC_1065,003,3,1,2,18,0.95,2024-05-10_15h29.15.145,MSI_AV_v1,2022.1.1,60.175169919720815,
25,0,25,0,,,,,,,,,,0,1,0,36,1,3.19303509672656,0.767372347918183,None,551.5073755000003,None,552.3291307999998,None,552.3406101000013,None,None,552.3291307999998,None,"['b', 'z', 'z', 'z', 'z']","[0.10474379999959638, 1.3127760999987004, 1.6799565999981496, 1.9583782999989126, 2.1629134999993767]",554.2739362000002,None,b,2.1047437999995964,0,0,0.7307692307692307,557.4808860000003,None,None,557.4808860000003,None,,,,,,,,,,,,,,,,,,,,,,CBC_1065,003,3,1,2,18,0.95,2024-05-10_15h29.15.145,MSI_AV_v1,2022.1.1,60.175169919720815,
26,0,26,0,,,,,,,,,,2,0,0,36,1,2.269747919971076,3.44771472893932,None,559.2906262999995,None,562.7958915000008,None,562.8074502000012,None,None,562.7958915000008,None,['z'],[0.5056149999991248],564.7411972,None,z,2.505614999999125,1,1,0.7407407407407407,567.0323493000005,None,None,567.0323493000005,None,,,,,,,,,,,,,,,,,,,,,,CBC_1065,003,3,1,2,18,0.95,2024-05-10_15h29.15.145,MSI_AV_v1,2022.1.1,60.175169919720815,
27,0,27,0,,,,,,,,,,1,2,0,36,1,4.18755802100366,2.24098228083631,None,568.8407701000006,None,571.1309076999996,None,571.1407950000006,None,None,571.1309076999996,None,['z'],[0.14554539999971894],573.0739861000011,None,z,2.145545399999719,1,1,0.75,577.2823130000006,None,None,577.2823130000006,None,,,,,,,,,,,,,,,,,,,,,,CBC_1065,003,3,1,2,18,0.95,2024-05-10_15h29.15.145,MSI_AV_v1,2022.1.1,60.175169919720815,
28,0,28,0,,,,,,,,,,0,0,1,50,1,2.0935163976022517,1.92795341140246,None,579.0907195999998,None,581.064564700001,None,581.0740926000011,None,['b'],581.064564700001,None,None,,583.0073918000007,None,b,1.8381130999996458,1,1,0.7586206896551724,585.1155198000006,None,['b'],585.1155198000006,None,[1.8381130999996458],[1.1362557999991623],,,,,,,,,,,,,,,,,,,,CBC_1065,003,3,1,2,18,0.95,2024-05-10_15h29.15.145,MSI_AV_v1,2022.1.1,60.175169919720815,
29,0,29,0,,,,,,,,,,1,2,0,36,1,2.9608932424063896,2.46643561303325,None,586.9238968,None,589.4472985000002,None,589.458242600001,None,['z'],589.4472985000002,None,None,,591.3907079999999,None,z,1.5162362999990364,1,1,0.7666666666666667,594.3651787000008,None,None,594.3651787000008,None,[1.5162362999990364],,,,,,,,,,,,,,,,,,,,,CBC_1065,003,3,1,2,18,0.95,2024-05-10_15h29.15.145,MSI_AV_v1,2022.1.1,60.175169919720815,
30,0,30,0,,,,,,,,,,2,1,0,14,1,3.35750049552731,1.85507739556255,None,596.1737385999995,None,598.080994500001,None,598.0907982000002,None,['z'],598.080994500001,None,None,,600.0239790999995,None,z,1.3494321999996828,1,1,0.7741935483870968,603.395469600001,None,None,603.395469600001,None,[1.3494321999996828],,,,,,,,,,,,,,,,,,,,,CBC_1065,003,3,1,2,18,0.95,2024-05-10_15h29.15.145,MSI_AV_v1,2022.1.1,60.175169919720815,
