trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.visual_stim,trials_runs.tactile_stim,trials_runs.correctPair,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_4.started,tactile_4.started,response_4.keys,allKeys.keys,response_4.rt,allKeys.rt,response_5.keys,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_5.rt,keys_6.rt,keys_3.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,ts_difficulty,visualPair,tactilePair,yesKey,noKey,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,28.845854099999997,None,t,10.218053700000382,28.845854099999997,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_11014,2,1,1,4,4,0.95,2024-05-26_10h04.46.542,MSI_TV_v1,2022.1.1,60.02541476065331,
,,,,,,,,,,None,39.08645019999949,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_11014,2,1,1,4,4,0.95,2024-05-26_10h04.46.542,MSI_TV_v1,2022.1.1,60.02541476065331,
0,0,0,0,,,,,,,,,,2.0,2,0.0,36.0,1.0,3.8484563543876202,2.19546497995913,None,39.28644410000015,None,41.45340083999999,41.45340083999999,r,['r'],1.0412781999993967,[1.0412781999993967],None,43.45442849999927,None,r,1.0412781999993967,0,0,0.0,47.356402499999604,None,None,47.356402499999604,None,,,,,,,,,,,,,,,,,,,,,,,CBC_11014,2,1,1,4,4,0.95,2024-05-26_10h04.46.542,MSI_TV_v1,2022.1.1,60.02541476065331,
1,0,1,0,,,,,,,,,,1.0,0,1.0,50.0,1.0,2.038421555814887,2.46643561303325,None,49.11971409999933,None,51.569255939999856,51.569255939999856,r,['r'],1.111658100000568,[1.111658100000568],None,53.567954299999656,None,r,1.111658100000568,1,1,0.5,55.64864679999937,None,None,55.64864679999937,None,,,,,,,,,,,,,,,,,,,,,,,CBC_11014,2,1,1,4,4,0.95,2024-05-26_10h04.46.542,MSI_TV_v1,2022.1.1,60.02541476065331,
2,0,2,0,,,,,,,,,,2.0,2,0.0,36.0,1.0,3.00616914487701,1.92795341140246,None,57.436742999999296,None,59.33658903999949,59.33658903999949,None,[],,,['b'],61.34592780000003,None,b,2.3122549999998228,1,1,0.6666666666666666,64.35208599999987,None,None,64.35208599999987,None,[0.31225499999982276],,,,,,,,,,,,,,,,,,,,,,CBC_11014,2,1,1,4,4,0.95,2024-05-26_10h04.46.542,MSI_TV_v1,2022.1.1,60.02541476065331,
3,0,3,0,,,,,,,,,,0.0,0,0.0,36.0,1.0,4.79396941305267,3.44771472893932,None,66.15318959999968,None,69.58674553999973,69.58674553999973,b,['b'],1.8377989000000525,[1.8377989000000525],None,71.59426649999932,None,b,1.8377989000000525,1,1,0.75,76.41647190000003,None,None,76.41647190000003,None,,,,,,,,,,,,,,,,,,,,,,,CBC_11014,2,1,1,4,4,0.95,2024-05-26_10h04.46.542,MSI_TV_v1,2022.1.1,60.02541476065331,
4,0,4,0,,,,,,,,,,2.0,1,1.0,50.0,1.0,4.638307379983409,2.41859016397919,None,78.22002699999939,None,80.6201775399999,80.6201775399999,None,[],,,['r'],82.62485699999979,None,r,2.9469551000001957,1,1,0.8,87.26851230000011,None,None,87.26851230000011,None,[0.9469551000001957],,,,,,,,,,,,,,,,,,,,,,CBC_11014,2,1,1,4,4,0.95,2024-05-26_10h04.46.542,MSI_TV_v1,2022.1.1,60.02541476065331,
5,0,5,0,,,,,,,,,,1.0,2,0.0,14.0,1.0,3.19303509672656,2.2926827756088,None,89.07016029999977,None,91.33663883999944,91.33663883999944,b,['b'],1.2599458000004233,[1.2599458000004233],None,93.34193109999978,None,b,1.2599458000004233,1,1,0.8333333333333334,96.5487594999995,None,None,96.5487594999995,None,,,,,,,,,,,,,,,,,,,,,,,CBC_11014,2,1,1,4,4,0.95,2024-05-26_10h04.46.542,MSI_TV_v1,2022.1.1,60.02541476065331,
6,0,6,0,,,,,,,,,,0.0,1,0.0,14.0,1.0,3.6791616380244196,2.32696722275902,None,98.35332229999949,None,100.65350483999956,100.65350483999956,None,[],,,['b'],102.65236180000011,None,b,2.6652722999997422,1,1,0.8571428571428571,106.3485983999999,None,None,106.3485983999999,None,[0.6652722999997422],,,,,,,,,,,,,,,,,,,,,,CBC_11014,2,1,1,4,4,0.95,2024-05-26_10h04.46.542,MSI_TV_v1,2022.1.1,60.02541476065331,
7,0,7,0,,,,,,,,,,1.0,0,1.0,50.0,1.0,3.3535975560099702,2.13476920223271,None,108.15310090000003,None,110.26872003999998,110.26872003999998,r,['r'],1.061106999999538,[1.061106999999538],None,112.26549279999927,None,r,1.061106999999538,1,1,0.875,115.61929869999949,None,None,115.61929869999949,None,,,,,,,,,,,,,,,,,,,,,,,CBC_11014,2,1,1,4,4,0.95,2024-05-26_10h04.46.542,MSI_TV_v1,2022.1.1,60.02541476065331,
