trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.visual_stim,trials_runs.tactile_stim,trials_runs.correctPair,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_4.started,tactile_4.started,response_4.keys,allKeys.keys,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,keys_6.rt,response_4.rt,allKeys.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,ts_difficulty,visualPair,tactilePair,yesKey,noKey,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,33.16094070000008,None,t,54.53440159999991,33.16094070000008,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1095,002,1,1,0,0,0.90,2024-05-01_13h52.28.526,MSI_TV_v1,2022.1.1,60.309556893620915,
,,,,,,,,,,None,87.71266860000014,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1095,002,1,1,0,0,0.90,2024-05-01_13h52.28.526,MSI_TV_v1,2022.1.1,60.309556893620915,
0,0,0,0,,,,,,,,,,2,2,1,50,1,2.0691390047117237,2.31238477131615,None,87.91267489999973,None,90.21231823999997,90.21231823999997,None,[],['b'],[0.8213463000001866],92.22409999999991,None,b,2.8213463000001866,1,1,1.0,94.33339139999998,None,None,94.33339139999998,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1095,002,1,1,0,0,0.90,2024-05-01_13h52.28.526,MSI_TV_v1,2022.1.1,60.309556893620915,
1,0,1,0,,,,,,,,,,1,1,1,50,1,3.8873543302872697,2.9722947448457,None,96.11273399999982,None,99.06277933999982,99.06277933999982,None,[],['z'],[0.9981724999997823],101.06726209999988,None,z,2.9981724999997823,0,0,0.5,104.97360960000015,None,None,104.97360960000015,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1095,002,1,1,0,0,0.90,2024-05-01_13h52.28.526,MSI_TV_v1,2022.1.1,60.309556893620915,
2,0,2,0,,,,,,,,,,2,0,0,36,1,3.22645636662535,3.19646747994707,None,106.77958219999982,None,109.94669874000002,109.94669874000002,None,[],['z'],[1.4626815999999963],111.95198140000002,None,z,3.4626815999999963,1,1,0.6666666666666666,115.19229379999979,None,None,115.19229379999979,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1095,002,1,1,0,0,0.90,2024-05-01_13h52.28.526,MSI_TV_v1,2022.1.1,60.309556893620915,
3,0,3,0,,,,,,,,,,0,1,0,36,1,4.057112590273469,2.93253104700369,None,116.99602619999996,None,119.91286953999989,119.91286953999989,None,[],['z'],[1.4430892999994285],121.91832190000014,None,z,3.4430892999994285,1,1,0.75,125.99155759999985,None,None,125.99155759999985,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1095,002,1,1,0,0,0.90,2024-05-01_13h52.28.526,MSI_TV_v1,2022.1.1,60.309556893620915,
4,0,4,0,,,,,,,,,,2,2,1,50,1,3.6791616380244196,2.96697800987238,None,127.79595479999989,None,130.7466347399999,130.7466347399999,None,[],['b'],[0.6122446999997919],132.75412330000017,None,b,2.612244699999792,1,1,0.8,136.45959690000018,None,None,136.45959690000018,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1095,002,1,1,0,0,0.90,2024-05-01_13h52.28.526,MSI_TV_v1,2022.1.1,60.309556893620915,
5,0,5,0,,,,,,,,,,1,0,0,14,1,3.00616914487701,1.1680331695907,None,138.2627407,None,139.41278494000008,139.41278494000008,None,[],['b'],[2.122799699999632],141.4171308,None,b,4.122799699999632,0,0,0.6666666666666666,144.4393455999998,None,None,144.4393455999998,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1095,002,1,1,0,0,0.90,2024-05-01_13h52.28.526,MSI_TV_v1,2022.1.1,60.309556893620915,
6,0,6,0,,,,,,,,,,0,2,0,14,1,3.78496720151373,3.093067417437,None,146.2463069999999,None,149.31305583999975,149.31305583999975,None,[],['z'],[1.2525966999996854],151.31815700000016,None,z,3.2525966999996854,1,1,0.7142857142857143,155.1261768999998,None,None,155.1261768999998,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1095,002,1,1,0,0,0.90,2024-05-01_13h52.28.526,MSI_TV_v1,2022.1.1,60.309556893620915,
7,0,7,0,,,,,,,,,,1,1,1,50,0,4.79396941305267,2.55132244875705,None,156.92964669999992,None,159.46283503999976,159.46283503999976,None,[],['b'],[2.8064223999995193],161.46860879999986,None,b,4.806422399999519,1,0,0.75,166.27451250000013,None,None,166.27451250000013,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1095,002,1,1,0,0,0.90,2024-05-01_13h52.28.526,MSI_TV_v1,2022.1.1,60.309556893620915,
8,0,8,0,,,,,,,,,,2,2,1,50,1,2.8965037234387068,0.767372347918183,None,168.0796577000001,None,168.82969323999978,168.82969323999978,None,[],['b'],[0.9593925999997737],170.83622419999983,None,b,2.9593925999997737,1,1,0.7777777777777778,173.7604467000001,None,None,173.7604467000001,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1095,002,1,1,0,0,0.90,2024-05-01_13h52.28.526,MSI_TV_v1,2022.1.1,60.309556893620915,
9,0,9,0,,,,,,,,,,0,1,0,36,1,4.75208449114276,2.24098228083631,None,175.56299750000017,None,177.78015914000017,177.78015914000017,None,[],['z'],[1.5921103000000585],179.78594489999978,None,z,3.5921103000000585,1,1,0.8,184.55920659999992,None,None,184.55920659999992,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1095,002,1,1,0,0,0.90,2024-05-01_13h52.28.526,MSI_TV_v1,2022.1.1,60.309556893620915,
10,0,10,0,,,,,,,,,,1,2,0,36,1,2.0935163976022517,2.13476920223271,None,186.3638274,None,188.47979504000014,188.47979504000014,None,[],None,,190.48347299999978,None,None,[],0,3,0.7272727272727273,192.59064910000006,None,['z'],192.59064910000006,None,[0.8344479999996111],,,,,,,,,,,,,,,,,,,,,,CBC_1095,002,1,1,0,0,0.90,2024-05-01_13h52.28.526,MSI_TV_v1,2022.1.1,60.309556893620915,
11,0,11,0,,,,,,,,,,0,0,1,50,1,2.269747919971076,1.52074017648695,None,194.3962507000001,None,195.89636624000005,195.89636624000005,None,[],['b'],[0.7162471999995432],197.90161690000014,None,b,2.7162471999995432,1,1,0.75,200.18987040000002,None,None,200.18987040000002,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1095,002,1,1,0,0,0.90,2024-05-01_13h52.28.526,MSI_TV_v1,2022.1.1,60.309556893620915,
12,0,12,0,,,,,,,,,,1,2,0,36,1,2.533372966674614,1.92795341140246,None,201.99640309999995,None,203.89632534000012,203.89632534000012,None,[],['b'],[1.3726441999997405],205.90042529999982,None,b,3.3726441999997405,0,0,0.6923076923076923,208.45650220000016,None,None,208.45650220000016,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1095,002,1,1,0,0,0.90,2024-05-01_13h52.28.526,MSI_TV_v1,2022.1.1,60.309556893620915,
13,0,13,0,,,,,,,,,,0,0,1,50,1,3.35750049552731,0.823898895776125,None,210.26328289999992,None,211.0631159399999,211.0631159399999,None,[],['b'],[0.3848918999997295],213.06774339999993,None,b,2.3848918999997295,1,1,0.7142857142857143,216.44177279999985,None,None,216.44177279999985,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1095,002,1,1,0,0,0.90,2024-05-01_13h52.28.526,MSI_TV_v1,2022.1.1,60.309556893620915,
