trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.visual_stim,trials_runs.tactile_stim,trials_runs.correctPair,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_4.started,tactile_4.started,response_4.keys,allKeys.keys,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,keys_6.rt,response_4.rt,allKeys.rt,keys_3.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,ts_difficulty,visualPair,tactilePair,yesKey,noKey,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
16,0,16,0,,,,,,,,,,1.0,0,0.0,36.0,1.0,2.533372966674614,0.767372347918183,None,247.13197730000047,None,247.8818279400005,247.8818279400005,None,[],['z'],[0.6104899000001751],249.8871908000001,None,z,2.610489900000175,0,0,0.5882352941176471,252.4417653999999,None,None,252.4417653999999,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1046,001,6,3,4,23,0.95,2024-01-27_09h58.22.092,MSI_TV_v1,2022.1.1,60.0154719886983,
17,0,17,0,,,,,,,,,,0.0,2,1.0,50.0,0.0,3.3535975560099702,2.71666458349534,None,254.24854180000057,None,256.9485703399999,256.9485703399999,None,[],['z'],[0.35032499999942956],258.9473373999999,None,z,2.3503249999994296,1,0,0.6111111111111112,262.3250814000003,None,None,262.3250814000003,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1046,001,6,3,4,23,0.95,2024-01-27_09h58.22.092,MSI_TV_v1,2022.1.1,60.0154719886983,
18,0,18,0,,,,,,,,,,2.0,0,1.0,50.0,1.0,4.89745263827305,0.823898895776125,None,264.13088870000047,None,264.9318444399999,264.9318444399999,None,[],['z'],[0.7938604999990275],266.93353579999985,None,z,2.7938604999990275,1,1,0.631578947368421,271.84207779999997,None,None,271.84207779999997,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1046,001,6,3,4,23,0.95,2024-01-27_09h58.22.092,MSI_TV_v1,2022.1.1,60.0154719886983,
19,0,19,0,,,,,,,,,,1.0,1,1.0,50.0,1.0,3.78496720151373,0.872854310065634,None,273.64841630000046,None,274.49801964000045,274.49801964000045,None,[],None,,276.49452680000013,None,None,[],0,3,0.6,280.29230689999986,None,['z'],280.29230689999986,None,[1.4505823999998029],,,,,,,,,,,,,,,,,,,,,,,CBC_1046,001,6,3,4,23,0.95,2024-01-27_09h58.22.092,MSI_TV_v1,2022.1.1,60.0154719886983,
20,0,20,0,,,,,,,,,,2.0,2,0.0,36.0,1.0,2.0691390047117237,1.92795341140246,None,282.0984392999999,None,283.9985962399999,283.9985962399999,None,[],None,,286.0017536000005,None,None,[],0,3,0.5714285714285714,288.0929934000005,None,['b'],288.0929934000005,None,[0.15702629999941564],,,,,,,,,,,,,,,,,,,,,,,CBC_1046,001,6,3,4,23,0.95,2024-01-27_09h58.22.092,MSI_TV_v1,2022.1.1,60.0154719886983,
21,0,21,0,,,,,,,,,,1.0,0,0.0,36.0,1.0,4.18755802100366,3.44771472893932,None,289.8985859000004,None,293.3319720400007,293.3319720400007,b,['b'],None,,295.3364855,None,b,1.2171864000001733,1,1,0.5909090909090909,299.5310091000001,None,None,299.5310091000001,None,,1.2171864000001733,[1.2171864000001733],,,,,,,,,,,,,,,,,,,,,CBC_1046,001,6,3,4,23,0.95,2024-01-27_09h58.22.092,MSI_TV_v1,2022.1.1,60.0154719886983,
22,0,22,0,,,,,,,,,,0.0,2,1.0,50.0,1.0,2.396355568442425,0.859460502749755,None,301.3319706000002,None,302.1646330400002,302.1646330400002,None,[],['z'],[0.7693704000002981],304.1596221,None,z,2.769370400000298,1,1,0.6086956521739131,306.57715890000054,None,None,306.57715890000054,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1046,001,6,3,4,23,0.95,2024-01-27_09h58.22.092,MSI_TV_v1,2022.1.1,60.0154719886983,
23,0,23,0,,,,,,,,,,1.0,1,1.0,50.0,1.0,3.8873543302872697,3.25187717164471,None,308.3816641000003,None,311.6150829400006,311.6150829400006,None,[],['b'],[0.7886212999992495],313.6189213000007,None,b,2.7886212999992495,0,0,0.5833333333333334,317.5140700000002,None,None,317.5140700000002,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1046,001,6,3,4,23,0.95,2024-01-27_09h58.22.092,MSI_TV_v1,2022.1.1,60.0154719886983,
24,0,24,0,,,,,,,,,,1.0,1,1.0,50.0,1.0,2.664345149861413,1.52074017648695,None,319.3155383000003,None,320.81530764000064,320.81530764000064,None,[],['z'],[0.9752741999991485],322.81493880000016,None,z,2.9752741999991485,1,1,0.6,325.4810526000001,None,None,325.4810526000001,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1046,001,6,3,4,23,0.95,2024-01-27_09h58.22.092,MSI_TV_v1,2022.1.1,60.0154719886983,
25,0,25,0,,,,,,,,,,2.0,0,1.0,50.0,1.0,4.85706913915242,1.90695111352951,None,327.2821377,None,329.1655280400003,329.1655280400003,None,[],['b'],[0.2824044999997568],331.1697414999999,None,b,2.282404499999757,0,0,0.5769230769230769,336.04231680000066,None,None,336.04231680000066,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1046,001,6,3,4,23,0.95,2024-01-27_09h58.22.092,MSI_TV_v1,2022.1.1,60.0154719886983,
