trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.visual_stim,trials_runs.tactile_stim,trials_runs.correctPair,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_4.started,tactile_4.started,response_4.keys,allKeys.keys,response_4.rt,allKeys.rt,response_5.keys,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_5.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,ts_difficulty,visualPair,tactilePair,yesKey,noKey,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
29,0,29,0,,,,,,,,,,1,2,1,50,1,3.8484563543876202,3.25187717164471,None,657.3692621,None,660.6027110100005,660.6027110100005,b,['b'],1.8822676999998293,[1.8822676999998293],None,662.6071858000005,None,b,1.8822676999998293,0,0,0.5666666666666667,666.4790846000005,None,None,666.4790846000005,None,,,,,,,,,,,,,,,,,,,,,CBC_1084,001,6,2,5,13,0.95,2024-02-29_13h33.49.909,MSI_TV_v1,2022.1.1,59.96688628533095,
30,0,30,0,,,,,,,,,,0,1,0,14,1,3.78496720151373,3.44771472893932,None,668.2860164000003,None,671.7192877099998,671.7192877099998,b,['b'],1.222809099999722,[1.222809099999722],None,673.7231218000006,None,b,1.222809099999722,1,1,0.5806451612903226,677.5308197000004,None,None,677.5308197000004,None,,,,,,,,,,,,,,,,,,,,,CBC_1084,001,6,2,5,13,0.95,2024-02-29_13h33.49.909,MSI_TV_v1,2022.1.1,59.96688628533095,
31,0,31,0,,,,,,,,,,1,0,0,14,1,2.8965037234387068,0.760509851028298,None,679.3360751999999,None,680.0702212100006,680.0702212100006,b,['b'],1.362001299999065,[1.362001299999065],None,682.0721033999998,None,b,1.362001299999065,1,1,0.59375,684.9808555999998,None,None,684.9808555999998,None,,,,,,,,,,,,,,,,,,,,,CBC_1084,001,6,2,5,13,0.95,2024-02-29_13h33.49.909,MSI_TV_v1,2022.1.1,59.96688628533095,
32,0,32,0,,,,,,,,,,2,1,1,50,1,2.269747919971076,1.14006717102905,None,686.7860154,None,687.9028078100001,687.9028078100001,None,[],,,['z'],689.9060448999999,None,z,3.04433280000012,1,1,0.6060606060606061,692.1983268000004,None,None,692.1983268000004,None,[1.0443328000001202],,,,,,,,,,,,,,,,,,,,CBC_1084,001,6,2,5,13,0.95,2024-02-29_13h33.49.909,MSI_TV_v1,2022.1.1,59.96688628533095,
33,0,33,0,,,,,,,,,,0,2,0,36,1,4.3560033776911595,1.49618260131236,None,694.002778,None,695.4861415100005,695.4861415100005,None,[],,,['z'],697.4887583999998,None,z,2.346265899998798,0,0,0.5882352941176471,701.8625482000007,None,None,701.8625482000007,None,[0.346265899998798],,,,,,,,,,,,,,,,,,,,CBC_1084,001,6,2,5,13,0.95,2024-02-29_13h33.49.909,MSI_TV_v1,2022.1.1,59.96688628533095,
34,0,34,0,,,,,,,,,,2,1,1,50,1,4.79595120749692,0.767372347918183,None,703.6696001,None,704.4195667100004,704.4195667100004,None,[],,,['z'],706.4247179000004,None,z,2.527277399999548,1,1,0.6,711.2486705000001,None,None,711.2486705000001,None,[0.5272773999995479],,,,,,,,,,,,,,,,,,,,CBC_1084,001,6,2,5,13,0.95,2024-02-29_13h33.49.909,MSI_TV_v1,2022.1.1,59.96688628533095,
35,0,35,0,,,,,,,,,,0,2,0,36,1,2.070770331037005,1.23760834810881,None,713.0533595000006,None,714.2700182099999,714.2700182099999,b,['b'],1.679071199999271,[1.679071199999271],None,716.2749321000001,None,b,1.679071199999271,1,1,0.6111111111111112,718.3637858000002,None,None,718.3637858000002,None,,,,,,,,,,,,,,,,,,,,,CBC_1084,001,6,2,5,13,0.95,2024-02-29_13h33.49.909,MSI_TV_v1,2022.1.1,59.96688628533095,
36,0,36,0,,,,,,,,,,1,1,0,36,1,2.096051788593735,2.46643561303325,None,720.1695029000002,None,722.6197172100002,722.6197172100002,None,[],,,['b'],724.6239704999998,None,b,2.270113599999604,1,1,0.6216216216216216,726.7302211000006,None,None,726.7302211000006,None,[0.27011359999960405],,,,,,,,,,,,,,,,,,,,CBC_1084,001,6,2,5,13,0.95,2024-02-29_13h33.49.909,MSI_TV_v1,2022.1.1,59.96688628533095,
37,0,37,0,,,,,,,,,,0,0,1,50,1,2.664345149861413,0.864984636888209,None,728.5361160000002,None,729.3862081099998,729.3862081099998,b,['b'],1.2856603999998697,[1.2856603999998697],None,731.3905183000006,None,b,1.2856603999998697,0,0,0.6052631578947368,734.0686286999999,None,None,734.0686286999999,None,,,,,,,,,,,,,,,,,,,,,CBC_1084,001,6,2,5,13,0.95,2024-02-29_13h33.49.909,MSI_TV_v1,2022.1.1,59.96688628533095,
38,0,38,0,,,,,,,,,,1,1,0,36,1,3.19303509672656,2.19546497995913,None,735.8694235000003,None,738.05293791,738.05293791,b,['b'],1.7281880999998975,[1.7281880999998975],None,740.0588225000001,None,b,1.7281880999998975,1,1,0.6153846153846154,743.2648960000006,None,None,743.2648960000006,None,,,,,,,,,,,,,,,,,,,,,CBC_1084,001,6,2,5,13,0.95,2024-02-29_13h33.49.909,MSI_TV_v1,2022.1.1,59.96688628533095,
39,0,39,0,,,,,,,,,,0,0,1,50,0,4.89745263827305,1.90695111352951,None,745.0696182000001,None,746.9527827100002,746.9527827100002,b,['b'],2.005005099999835,[2.005005099999835],None,748.9572497999998,None,b,2.005005099999835,0,1,0.6,753.8816070000003,None,None,753.8816070000003,None,,,,,,,,,,,,,,,,,,,,,CBC_1084,001,6,2,5,13,0.95,2024-02-29_13h33.49.909,MSI_TV_v1,2022.1.1,59.96688628533095,
40,0,40,0,,,,,,,,,,1,2,1,50,1,2.755584162388418,1.1680331695907,None,755.6862031000001,None,756.8363337100001,756.8363337100001,None,[],,,['z'],758.8397651000005,None,z,2.414694599999166,1,1,0.6097560975609756,761.6158770000002,None,None,761.6158770000002,None,[0.4146945999991658],,,,,,,,,,,,,,,,,,,,CBC_1084,001,6,2,5,13,0.95,2024-02-29_13h33.49.909,MSI_TV_v1,2022.1.1,59.96688628533095,
41,0,41,0,,,,,,,,,,2,1,1,50,1,3.3535975560099702,2.68012679460483,None,763.4196655000005,None,766.0867571099999,766.0867571099999,None,[],,,['z'],768.0904236000006,None,z,2.6139793999991525,1,1,0.6190476190476191,771.4659010000005,None,None,771.4659010000005,None,[0.6139793999991525],,,,,,,,,,,,,,,,,,,,CBC_1084,001,6,2,5,13,0.95,2024-02-29_13h33.49.909,MSI_TV_v1,2022.1.1,59.96688628533095,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,773.2700727000001,None,,,,,,,,,,,,,,,,,CBC_1084,001,6,2,5,13,0.95,2024-02-29_13h33.49.909,MSI_TV_v1,2022.1.1,59.96688628533095,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,778.26991,None,None,778.26991,None,,,,,,,,,,,,CBC_1084,001,6,2,5,13,0.95,2024-02-29_13h33.49.909,MSI_TV_v1,2022.1.1,59.96688628533095,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hard,"[0, 1, 2, 3]","[0, 2, 1]",z,b,0.7142857142857143,0.42857142857142855,0.7142857142857143,28,0,14,,,,,,,,,,,,
