trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.visual_stim,trials_runs.auditory_stim,trials_runs.correctPair,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_4.started,image_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.started,response_4.stopped,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,ts_difficulty,visualPair,audioPair,yesKey,noKey,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],audio set [1-3 / 4-6],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
,,,,29.17402299999958,None,t,46.412351000000854,29.17402299999958,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1106,2,4,3,7,11,0.95,2024-10-18_14h18.25.602,MSI_AV_v1,2022.1.1,59.91952807391135,
,,,,,,,,,,None,75.61467119999998,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1106,2,4,3,7,11,0.95,2024-10-18_14h18.25.602,MSI_AV_v1,2022.1.1,59.91952807391135,
0,0,0,0,,,,,,,,,,1,0,0,36,1,2.260653249681576,0.872854310065634,None,75.81474439999965,None,76.97366199999942,None,76.98220199999923,None,None,76.97366199999942,None,['z'],[0.8894732000007934],78.68247429999974,None,z,2.8894732000007934,0,0,0.0,80.99167369999941,None,None,80.99167369999941,None,,,,,,,,,,,,,,,,,,,,,CBC_1106,2,4,3,7,11,0.95,2024-10-18_14h18.25.602,MSI_AV_v1,2022.1.1,59.91952807391135,
1,0,1,0,,,,,,,,,,0,1,0,36,1,4.79595120749692,0.760509851028298,None,82.7659152999995,None,83.61337149999963,None,83.61480354999995,None,None,83.61337149999963,None,['b'],[1.0644005000003744],85.51584419999926,None,b,3.0644005000003744,1,1,0.5,90.35605889999988,None,None,90.35605889999988,None,,,,,,,,,,,,,,,,,,,,,CBC_1106,2,4,3,7,11,0.95,2024-10-18_14h18.25.602,MSI_AV_v1,2022.1.1,59.91952807391135,
2,0,2,0,,,,,,,,,,1,2,0,14,1,2.0691390047117237,1.1680331695907,None,92.13237439999921,None,93.38198879999982,None,93.38258334999946,None,None,93.38198879999982,None,['z'],[1.1902185000008103],95.2991564999993,None,z,3.1902185000008103,0,0,0.3333333333333333,97.38868249999996,None,None,97.38868249999996,None,,,,,,,,,,,,,,,,,,,,,CBC_1106,2,4,3,7,11,0.95,2024-10-18_14h18.25.602,MSI_AV_v1,2022.1.1,59.91952807391135,
3,0,3,0,,,,,,,,,,2,0,1,50,1,4.75208449114276,1.49618260131236,None,99.19904349999979,None,100.80944120000004,None,100.81596904999996,None,None,100.80944120000004,None,['z'],[0.593402700000297],102.69936710000002,None,z,2.593402700000297,1,1,0.5,107.4714000999993,None,None,107.4714000999993,None,,,,,,,,,,,,,,,,,,,,,CBC_1106,2,4,3,7,11,0.95,2024-10-18_14h18.25.602,MSI_AV_v1,2022.1.1,59.91952807391135,
4,0,4,0,,,,,,,,,,0,2,1,50,1,3.3535975560099702,2.31238477131615,None,109.28143569999975,None,111.61466349999955,None,111.6148171999992,None,None,111.61466349999955,None,['b'],[0.7476427000001422],113.56614389999959,None,b,2.747642700000142,0,0,0.4,116.93907689999924,None,None,116.93907689999924,None,,,,,,,,,,,,,,,,,,,,,CBC_1106,2,4,3,7,11,0.95,2024-10-18_14h18.25.602,MSI_AV_v1,2022.1.1,59.91952807391135,
5,0,5,0,,,,,,,,,,0,2,1,50,1,2.661399651610695,3.19646747994707,None,118.74931049999941,None,121.98147349999999,None,121.98168179999975,None,None,121.98147349999999,None,['z'],[0.622016999999687],123.93293249999988,None,z,2.622016999999687,1,1,0.5,126.60814819999996,None,None,126.60814819999996,None,,,,,,,,,,,,,,,,,,,,,CBC_1106,2,4,3,7,11,0.95,2024-10-18_14h18.25.602,MSI_AV_v1,2022.1.1,59.91952807391135,
6,0,6,0,,,,,,,,,,2,0,1,50,1,2.269747919971076,2.711340609857,None,128.41605729999992,None,131.1724080999993,None,131.18232219999953,None,None,131.1724080999993,None,['z'],[1.063412800000151],133.11596949999966,None,z,3.063412800000151,1,1,0.5714285714285714,135.4061611999996,None,None,135.4061611999996,None,,,,,,,,,,,,,,,,,,,,,CBC_1106,2,4,3,7,11,0.95,2024-10-18_14h18.25.602,MSI_AV_v1,2022.1.1,59.91952807391135,
7,0,7,0,,,,,,,,,,0,1,0,36,1,3.00616914487701,0.767372347918183,None,137.21525479999946,None,138.0327211999993,None,138.0325750499992,None,['b'],138.0327211999993,None,None,,139.98272550000002,None,b,1.8693612000006397,1,1,0.625,143.00316679999924,None,None,143.00316679999924,None,[1.8693612000006397],,,,,,,,,,,,,,,,,,,,CBC_1106,2,4,3,7,11,0.95,2024-10-18_14h18.25.602,MSI_AV_v1,2022.1.1,59.91952807391135,
